Date,Day,Weight [lbs],Food Energy [C],Protein [g],Fat [g],Carbs [g],Walking [Steps],Walking [mi],Active Energy [C],Resting Energy [C]
"Saturday, February 11, 2023",0,341.4,"1,980",92,,,"3,480",2.10,350,"2,526"
"Sunday, February 12, 2023",1,341.2,"2,450",72,,,865,0.39,32,"2,500"
"Monday, February 13, 2023",2,340.3,"1,550",145,,,"5,576",3.40,574,"2,552"
"Tuesday, February 14, 2023",3,339.3,"1,249",129,,,"3,518",1.80,223,"2,493"
"Wednesday, February 15, 2023",4,338.8,"1,996",161,,,"9,703",5.00,689,"2,593"
"Thursday, February 16, 2023",5,336.7,929,70,,,"1,558",0.74,89,"2,504"
"Friday, February 17, 2023",6,334.9,"1,368",121,,,"14,102",7.90,"1,217","2,652"
"Saturday, February 18, 2023",7,332.8,"1,308",103,,,"9,927",4.80,612,"2,595"
"Sunday, February 19, 2023",8,333.1,"1,270",72,,,"1,717",0.75,77,"2,515"
"Monday, February 20, 2023",9,331.7,"1,170",109,,,"15,483",7.30,952,"2,662"
"Tuesday, February 21, 2023",10,331.4,"1,650",121,,,"2,458",1.10,157,"2,683"
"Wednesday, February 22, 2023",11,330.2,"1,430",114,,,978,0.39,44,"2,645"
"Thursday, February 23, 2023",12,329.9,"1,540",116,54,68,"2,100",0.90,106,"2,655"
"Friday, February 24, 2023",13,329.2,"1,470",101,91,71,"1,600",0.69,74,"2,652"
"Saturday, February 25, 2023",14,329.0,"1,100",112,27,75,"10,242",5.80,853,"2,782"
"Sunday, February 26, 2023",15,327.6,"1,329",136,46,108,"5,800",2.30,275,"2,705"
"Monday, February 27, 2023",16,326.8,"1,160",142,34,85,"13,000",3.60,402,"2,668"
"Tuesday, February 28, 2023",17,327.6,"1,250",129,65,51,"10,302",4.30,509,"2,671"
"Wednesday, March 1, 2023",18,326.2,"1,000",119,34,84,"12,252",2.70,324,"2,675"
"Thursday, March 2, 2023",19,325.7,"1,310",137,51,70,"13,914",8.40,"1,224","2,828"
"Friday, March 3, 2023",20,326.8,"1,290",122,51,60,"1,451",2.10,280,"2,683"
"Saturday, March 4, 2023",21,324.6,"1,420",123,37,59,"4,367",1.90,204,"2,697"
"Sunday, March 5, 2023",22,322.8,"1,680",129,86,85,"4,000",4.30,641,"2,714"
"Monday, March 6, 2023",23,322.7,"1,360",140,68,55,"4,425",2.10,299,"2,662"
"Tuesday, March 7, 2023",24,323.4,"1,888",128,54,79,"7,287",3.30,445,"2,697"
"Wednesday, March 8, 2023",25,324.2,"2,188",168,129,103,"4,972",2.20,293,"2,675"
"Thursday, March 9, 2023",26,323.8,"1,320",151,26,49,"2,915",1.10,159,"2,633"
"Friday, March 10, 2023",27,321.2,"1,530",165,39,73,"15,684",2.30,895,"2,670"
"Saturday, March 11, 2023",28,321.3,"1,780",181,76,64,100,4.50,4,"2,734"
"Sunday, March 12, 2023",29,320.9,988,153,9,13,"1,054",0.47,52,"2,516"
"Monday, March 13, 2023",30,320.9,"1,540",135,29,45,745,0.30,38,"2,602"
"Tuesday, March 14, 2023",31,320.9,"1,121",148,27,78,608,0.29,25,"2,595"
"Wednesday, March 15, 2023",32,318.6,"1,071",122,27,94,995,0.44,53,"2,597"
"Thursday, March 16, 2023",33,317.9,"1,334",112,70,80,309,0.13,11,"2,584"
"Friday, March 17, 2023",34,316.9,"1,680",179,74,77,679,0.27,22,"2,581"
"Saturday, March 18, 2023",35,316.6,"1,500",122,32,35,"5,222",2.40,318,"2,643"
"Sunday, March 19, 2023",36,316.7,"1,250",125,58,43,231,0.10,8,"2,568"
"Monday, March 20, 2023",37,316.6,"1,721",173,27,73,"10,987",5.30,736,"2,710"
"Tuesday, March 21, 2023",38,316.0,"1,630",155,85,82,"1,656",0.77,94,"2,585"
"Wednesday, March 22, 2023",39,315.3,"1,493",117,41,110,"1,800",0.76,89,"2,588"
"Thursday, March 23, 2023",40,315.4,"1,470",157,42,69,"1,547",0.66,86,"2,576"
"Friday, March 24, 2023",41,315.4,"1,150",151,28,42,"9,238",4.70,591,"2,686"
"Saturday, March 25, 2023",42,314.0,"1,960",181,111,47,"1,142",0.48,49,"2,584"
"Sunday, March 26, 2023",43,313.1,"1,460",175,49,87,"12,273",6.00,868,"2,716"
"Monday, March 27, 2023",44,314.8,"1,637",164,33,99,"13,129",6.60,957,"2,684"
"Tuesday, March 28, 2023",45,314.0,"2,000",125,82,110,"5,884",2.70,393,"2,633"
"Wednesday, March 29, 2023",46,313.5,"1,340",192,39,63,248,0.10,13,"2,566"
"Thursday, March 30, 2023",47,312.7,"1,449",169,56,74,"8,736",4.60,647,"2,665"
"Friday, March 31, 2023",48,312.7,"1,534",182,59,88,"6,385",3.60,467,"2,641"
"Saturday, April 1, 2023",49,310.1,"2,024",143,30,63,"24,042",11.60,"1,585","2,844"
"Sunday, April 2, 2023",50,311.8,"1,280",219,25,46,"13,287",6.30,887,"2,700"
"Monday, April 3, 2023",51,311.3,"2,397",169,81,71,"11,064",5.80,903,"2,675"
"Tuesday, April 4, 2023",52,311.5,"1,049",135,32,54,"3,096",1.60,229,"2,553"
"Wednesday, April 5, 2023",53,310.0,"1,374",142,48,106,"1,472",0.65,75,"2,554"
"Thursday, April 6, 2023",54,308.8,"1,610",155,66,112,"1,755",0.77,83,"2,552"
"Friday, April 7, 2023",55,307.9,"1,331",96,74,77,"3,359",1.40,166,"2,574"
"Saturday, April 8, 2023",56,308.2,"1,763",217,53,73,"25,704",4.50,"2,031","2,646"
"Sunday, April 9, 2023",57,307.6,"1,500",201,57,54,"24,435",22.90,"2,297","2,989"
"Monday, April 10, 2023",58,308.6,"1,370",172,46,74,"4,825",2.30,304,"2,578"
"Tuesday, April 11, 2023",59,307.7,"1,590",166,69,91,"8,204",3.70,508,"2,618"
"Wednesday, April 12, 2023",60,307.4,"1,350",135,58,75,"11,851",5.40,663,"2,662"
"Thursday, April 13, 2023",61,305.8,"1,698",162,92,72,"5,994",2.70,340,"2,585"
"Friday, April 14, 2023",62,304.6,"1,516",193,54,46,"12,664",5.80,738,"2,652"
"Saturday, April 15, 2023",63,303.2,"1,510",184,62,57,"14,332",0.12,924,"2,511"
"Sunday, April 16, 2023",64,304.2,"1,501",149,56,84,"22,501",12.80,"1,263","2,825"
"Monday, April 17, 2023",65,304.1,"1,280",149,63,36,"23,706",9.20,"1,453","2,724"
"Tuesday, April 18, 2023",66,302.8,"1,490",191,43,85,"25,927",19.10,"2,868","2,867"
"Wednesday, April 19, 2023",67,302.6,"2,029",160,86,138,"4,316",4.50,325,"2,592"
"Thursday, April 20, 2023",68,301.8,"1,702",157,93,75,"17,171",0.33,"1,936","2,499"
"Friday, April 21, 2023",69,303.9,"1,611",106,72,45,"1,710",11.10,67,"2,697"
"Saturday, April 22, 2023",70,301.1,"1,340",155,56,66,"12,136",0.01,"1,310","2,504"
"Sunday, April 23, 2023",71,299.8,"1,100",162,34,42,"10,460",12.10,848,"2,600"
"Monday, April 24, 2023",72,299.6,"1,420",129,79,51,"5,054",2.40,335,"2,538"
"Tuesday, April 25, 2023",73,298.7,"1,690",154,69,114,"21,615",11.60,"1,711","2,614"
"Wednesday, April 26, 2023",74,298.8,"1,680",145,49,70,"6,723",3.20,445,"2,652"
"Thursday, April 27, 2023",75,297.2,"1,090",115,55,50,"5,768",2.90,372,"2,526"
"Friday, April 28, 2023",76,295.7,"1,645",158,68,77,"5,654",2.50,291,"2,527"
"Saturday, April 29, 2023",77,294.4,"1,410",195,53,49,"18,584",9.70,"1,379","2,636"
"Sunday, April 30, 2023",78,293.8,"2,138",202,105,77,"28,919",15.90,"2,429","2,786"
"Monday, May 1, 2023",79,295.8,"1,240",164,31,90,"4,845",2.10,248,"2,525"
"Tuesday, May 2, 2023",80,294.4,"1,170",157,36,65,"1,680",0.70,72,"2,480"
"Wednesday, May 3, 2023",81,292.7,"1,445",158,56,100,"2,959",1.30,141,"2,476"
"Thursday, May 4, 2023",82,293.3,"1,329",142,55,89,"5,222",2.30,281,"2,488"
"Friday, May 5, 2023",83,292.4,"1,450",174,51,96,"16,632",8.50,"1,153","2,617"
"Saturday, May 6, 2023",84,292.6,"1,530",153,83,75,"24,827",13.00,"1,595","2,728"
"Sunday, May 7, 2023",85,291.6,"1,578",183,65,79,"18,817",9.60,"1,272","2,646"
"Monday, May 8, 2023",86,294.6,"1,460",135,64,101,"8,156",3.50,384,"2,520"
"Tuesday, May 9, 2023",87,292.7,"1,350",155,47,93,"5,107",2.30,269,"2,486"
"Wednesday, May 10, 2023",88,291.9,"1,470",184,65,55,"6,215",2.70,309,"2,513"
"Thursday, May 11, 2023",89,289.9,"2,534",155,117,114,"4,479",1.90,231,"2,497"
"Friday, May 12, 2023",90,291.0,"1,461",215,39,88,"13,142",6.50,813,"2,577"
"Saturday, May 13, 2023",91,290.6,"1,490",151,75,56,"1,290",0.55,58,"2,453"
"Sunday, May 14, 2023",92,287.7,"1,314",107,48,117,"7,203",3.60,402,"2,512"
"Monday, May 15, 2023",93,288.6,"1,480",203,44,92,"5,116",2.40,299,"2,472"
"Tuesday, May 16, 2023",94,288.0,"1,720",190,71,116,"5,451",2.80,354,"2,485"
"Wednesday, May 17, 2023",95,287.3,"1,490",179,65,65,"4,950",2.60,338,"2,472"
"Thursday, May 18, 2023",96,286.9,"1,480",172,68,82,"4,861",2.00,237,"2,465"
"Friday, May 19, 2023",97,285.8,"1,680",149,77,115,"5,481",2.70,33,"2,468"
"Saturday, May 20, 2023",98,285.3,"1,380",133,34,131,"16,603",7.30,861,"2,587"
"Sunday, May 21, 2023",99,286.3,"1,430",184,45,94,"14,165",6.60,847,"2,556"
"Monday, May 22, 2023",100,285.9,"1,880",172,82,138,"5,938",2.50,288,"2,451"
"Tuesday, May 23, 2023",101,286.1,"1,815",162,77,132,"9,046",3.90,431,"2,522"
"Wednesday, May 24, 2023",102,284.0,"2,662",147,113,198,"7,188",3.30,390,"2,462"
"Thursday, May 25, 2023",103,285.1,"1,689",188,58,133,"4,538",2.10,259,"2,436"
"Friday, May 26, 2023",104,285.0,"1,729",165,46,145,"4,799",2.10,242,"2,444"
"Saturday, May 27, 2023",105,282.5,"2,006",165,69,150,"6,652",3.00,332,"2,469"
"Sunday, May 28, 2023",106,283.6,"1,408",166,42,118,315,0.14,10,"2,395"
"Monday, May 29, 2023",107,280.9,"1,534",184,39,138,129,0.08,6,"2,397"
"Tuesday, May 30, 2023",108,281.3,"2,348",185,112,169,"2,299",1.00,108,"2,385"
"Wednesday, May 31, 2023",109,281.6,"1,885",199,83,109,287,0.13,9,"2,372"
"Thursday, June 1, 2023",110,280.8,"1,734",191,77,94,"8,498",3.60,403,"2,475"
"Friday, June 2, 2023",111,280.7,"2,254",172,108,123,"14,936",7.90,942,"2,521"
"Saturday, June 3, 2023",112,281.3,"2,244",234,82,187,"14,836",6.10,637,"2,536"
